NR_SECAO,escore,votos,local
88.0,7.454146341463415,164.0,EE CEL CRISTIANO OSÓRIO DE OLIVEIRA - EM
69.0,7.448620689655173,116.0,EE MONSENHOR ANTONIO DAVID - E.F.
308.0,7.416822429906542,107.0,NOVA EMEB ANTONIO SANTOS CABRAL - RESEDÁS
17.0,7.33609022556391,133.0,UNIFEOB CAMPUS MANTIQUEIRA
298.0,7.294331210191083,157.0,EMEB ANTONIO JOSÉ MINGHINI
303.0,7.290322580645161,124.0,E.E- PROFª ISAURA TEIXEIRA VASCONCELLOS
57.0,7.289225352112677,142.0,EE PADRE JOSUÉ SILVEIRA DE MATOS -EF-EM
11.0,7.28,155.0,UNIFEOB CAMPUS MANTIQUEIRA
117.0,7.278717948717949,117.0,EE PROFº VIRGÍLIO MARCONDES DE CASTRO-EF-EM
196.0,7.276766917293233,133.0,EMEIF SARAH SALOMÃO
56.0,7.274,135.0,EE PADRE JOSUÉ SILVEIRA DE MATOS -EF-EM
194.0,7.274,105.0,EE. PROF.FRANCISCO DIAS PASCHOAL -EF
199.0,7.273185840707964,113.0,UNIFAE - FACULDADES ASSOCIADAS DE ENSINO
59.0,7.27157894736842,114.0,EE PADRE JOSUÉ SILVEIRA DE MATOS -EF-EM
32.0,7.266844262295082,244.0,EE CEL CRISTIANO OSÓRIO DE OLIVEIRA - EM
219.0,7.263741007194245,139.0,EMEB ANTONIO JOSÉ MINGHINI
296.0,7.250465116279069,129.0,EMEIF JOSÉ PERES CASTELHANO
211.0,7.248881578947368,152.0,EMEIF SARAH SALOMÃO
136.0,7.24755905511811,127.0,EMEIF SARAH SALOMÃO
30.0,7.234418604651163,129.0,EE CEL CRISTIANO OSÓRIO DE OLIVEIRA - EM
55.0,7.234418604651163,129.0,EE PADRE JOSUÉ SILVEIRA DE MATOS -EF-EM
71.0,7.2335199999999995,125.0,EE PROFº VIRGÍLIO MARCONDES DE CASTRO-EF-EM
48.0,7.2335199999999995,125.0,EE DOMINGOS TEODORO DE OLIVEIRA AZEVEDO - EF-EM
87.0,7.228565022421525,223.0,UNIFAE - FACULDADES ASSOCIADAS DE ENSINO
290.0,7.228021978021978,182.0,EMEB ANTONIO JOSÉ MINGHINI
74.0,7.225985401459854,137.0,EE PROFº VIRGÍLIO MARCONDES DE CASTRO-EF-EM
210.0,7.2176300578034684,173.0,UNIFEOB CAMPUS MANTIQUEIRA
179.0,7.215454545454546,132.0,EE MARIA LEONOR ALVAREZ E SILVA - EF
195.0,7.215454545454545,99.0,UNIFEOB CAMPUS MANTIQUEIRA
113.0,7.212077922077922,154.0,EE DOMINGOS TEODORO DE OLIVEIRA AZEVEDO - EF-EM
126.0,7.206772908366534,251.0,EE CEL CRISTIANO OSÓRIO DE OLIVEIRA - EM
45.0,7.1961538461538455,143.0,EE DR.TEÓFILO DE ANDRADE - EF
28.0,7.188666666666666,255.0,UNIFAE - FACULDADES ASSOCIADAS DE ENSINO
122.0,7.18815668202765,217.0,UNIFAE - FACULDADES ASSOCIADAS DE ENSINO
26.0,7.174552238805971,134.0,UNIFAE - FACULDADES ASSOCIADAS DE ENSINO
153.0,7.142841530054645,183.0,COLÉGIO EL SHADAI
20.0,7.142775665399239,263.0,UNIFAE - FACULDADES ASSOCIADAS DE ENSINO
302.0,7.140107526881722,186.0,UNIFEOB CAMPUS MANTIQUEIRA
187.0,7.1380341880341875,234.0,UNIFAE - FACULDADES ASSOCIADAS DE ENSINO
85.0,7.104583333333333,192.0,EMEB MARIA DE LOURDES TEIXEIRA
10.0,7.090642857142858,140.0,UNIFEOB CAMPUS MANTIQUEIRA
116.0,7.090000000000001,101.0,EE PADRE JOSUÉ SILVEIRA DE MATOS -EF-EM
80.0,7.090000000000001,101.0,EE.PROFª ANESIA MARTINS MATOS -EF
184.0,7.09,102.0,UNIFAE - FACULDADES ASSOCIADAS DE ENSINO
37.0,7.09,108.0,EE CEL CRISTIANO OSÓRIO DE OLIVEIRA - EM
188.0,7.09,103.0,EE MARIA LEONOR ALVAREZ E SILVA - EF
294.0,7.0887735849056615,212.0,EE. PROF.FRANCISCO DIAS PASCHOAL -EF
