NR_ZONA,pct_superior,pct_medio_ou_mais
1,40.002853867865475,69.22079819060875
2,43.794811574384966,71.56293651760463
3,14.382411496919527,44.7715113042481
4,24.964940743476554,54.3898315982031
5,55.89169280910312,78.97309580789867
6,42.38204723240963,67.38968520404013
20,3.918099938883051,27.834309546629587
246,42.43691814885346,67.98613789426561
247,7.630694793715074,36.260349129553205
248,8.47248472998539,36.22609502269
249,34.10438986611705,62.54987368314869
250,32.47718411823466,58.48414121029594
251,51.548934674208546,74.0438216722845
252,18.349103427140687,50.76466846098991
253,22.636736962044974,51.99634426202537
254,14.594476193970184,41.02695003739713
255,17.19603246090362,46.901381460499024
256,15.469989732834264,44.28883818506931
257,18.863071458940254,47.557019561222134
258,49.32686225821737,71.95229726988616
259,45.46770148452861,70.46028380843943
260,21.08017479276911,49.89922667482531
280,14.05341082001643,43.92393165035499
320,18.762160342856827,44.62690796109367
325,19.3673399348955,50.40144307946959
326,8.82981018183752,40.33048248236056
327,17.233655611644448,48.97922577061902
328,9.174849803169447,34.168784064391325
346,36.16026247938527,59.9573225726013
347,13.152760716558085,42.90237871156443
348,16.779827337884562,46.00866528633165
349,14.36133932738697,43.96632013574704
350,8.909312481097178,36.45259459196724
351,9.735559099814083,34.990084652549626
352,4.227088928521529,30.217510815453277
353,3.0018571711544304,26.99032462330425
371,4.362642175155305,28.336698918778275
372,4.38608144406153,28.659529430986055
373,6.514536759680993,32.993345441464356
374,19.66197271987976,46.93216559417806
375,5.676884585342537,30.15253660383405
376,5.632738727258332,31.322654042234703
381,4.93365179263635,27.221491083873236
389,4.845994514802424,30.693625750526216
390,8.97535746796775,37.579149299367245
392,10.352164967387337,40.275298768491695
397,3.4659544984451776,29.62897850963568
398,6.117566173721484,32.29102632923037
403,7.480240994100295,38.95563436722098
404,3.056606702792656,27.26391204922089
405,6.000999550519577,36.674165851937545
408,20.47967126053546,45.24050391358067
413,17.730669498693356,47.49938077598609
417,9.864563747050202,40.32355749907806
418,9.40981118931479,35.856943968393274
420,11.394734895255983,41.47111425325829
421,4.609848066981215,31.434624088893898
422,16.52036390012957,43.35072580017701
