cargo,q1,q2,q4,d_q2_q1,d_q2_q4,veredito
Vereador,23.93847025646558,-3.8263469564792034,-20.090455076790523,27.76481721294478,16.26410812031132,INSTITUCIONAL
Prefeito,88.11047286045088,58.83726033609544,6.267469946509844,29.273212524355444,52.5697903895856,ESCOLARIDADE
Dep. Federal,20.525749799817746,-2.975266015056433,-6.744871995272958,23.50101581487418,3.769605980216525,INSTITUCIONAL
Governador,15.536080283902496,-0.35992277065345707,-3.8013188211396427,15.896003054555953,3.4413960504861856,INSTITUCIONAL
Presidente,0.6756154301282113,-10.637058085392683,-12.216880642513269,11.312673515520894,1.5798225571205862,INSTITUCIONAL
