nr_zona,esq_2012,esq_2024,variacao_pct,nome_ze,indice_cultural,escore_ver_2024,escore_pref_2024,pct_superior,renda_2010,quadrante
5,14619.0,24069.0,64.64190437102401,JARDIM PAULISTA,10.526315789473683,6.143114739648752,5.648896660763977,55.89169280910312,5364.548947368421,Q1: alto sup + alto índice
251,19123.0,32876.0,71.91863201380536,PINHEIROS,37.03703703703704,5.534277032512121,5.159698110030182,51.54893467420855,3819.414814814815,Q1: alto sup + alto índice
259,21984.0,27705.0,26.023471615720524,SAUDE,2.941176470588235,6.123032418295421,5.606843668453765,45.46770148452861,2926.7000000000003,Q1: alto sup + alto índice
2,25077.0,39403.0,57.128045619491964,PERDIZES,16.666666666666664,5.706628709144447,5.275030263334034,43.794811574384966,3136.760333333333,Q1: alto sup + alto índice
246,15701.0,22949.0,46.16266479842048,SANTO AMARO,9.090909090909092,6.417884493951892,5.885056769253809,42.43691814885346,2634.869090909091,Q1: alto sup + alto índice
6,29968.0,33630.0,12.219701014415376,VILA MARIANA,11.11111111111111,5.996591265393961,5.481054018623994,42.38204723240963,3263.541481481481,Q1: alto sup + alto índice
1,26678.0,36639.0,37.337881400404825,BELA VISTA,48.0,5.520269672653457,5.027663701936113,40.00285386786548,1804.5788,Q1: alto sup + alto índice
346,18191.0,34566.0,90.01704139409598,BUTANTA,13.513513513513514,6.162807908610128,5.561635423064957,36.16026247938527,2966.32,Q1: alto sup + alto índice
249,15791.0,15901.0,0.696599328731556,SANTANA,6.896551724137931,6.4135268585131895,5.867917424791715,34.10438986611705,1838.654827586207,Q1: alto sup + alto índice
250,31869.0,24967.0,-21.657410022278704,LAPA,3.7037037037037033,6.100535523282071,5.66089501837347,32.47718411823466,1707.3512962962964,Q1: alto sup + alto índice
260,36051.0,24018.0,-33.377714903886165,IPIRANGA SAO,2.631578947368421,6.398734884379822,5.767856200362442,21.08017479276911,1512.1339473684209,Q1: alto sup + alto índice
374,43324.0,36204.0,-16.434308928076817,RIO PEQUENO,8.16326530612245,6.15447136244032,5.513093837101269,19.66197271987976,1409.5055102040817,Q1: alto sup + alto índice
320,32562.0,26091.0,-19.872857932559427,JABAQUARA,2.564102564102564,6.351431536179995,5.692204319718623,18.762160342856827,1471.929761904762,Q1: alto sup + alto índice
252,15949.0,16278.0,2.062825255501912,PENHA DE FRANCA,3.4482758620689653,6.343767715944471,5.814760157860475,18.349103427140687,1184.6162068965518,Q1: alto sup + alto índice
254,25300.0,15947.0,-36.96837944664031,VILA MARIA,4.761904761904762,6.635611839106267,6.034484413774012,14.594476193970184,1033.86775,Q1: alto sup + alto índice
3,12382.0,25150.0,103.11742852527863,SANTA IFIGENIA,17.647058823529413,6.06186150254315,5.516443160095245,14.382411496919527,991.594705882353,Q1: alto sup + alto índice
258,24413.0,29641.0,21.414819972965223,INDIANOPOLIS,0.0,6.3923615157901805,5.878342778123157,49.32686225821737,3503.7423333333336,Q2: alto sup + BAIXO índice (DISCORDANTE)
4,26116.0,18401.0,-29.54127737785266,MOOCA,0.0,6.492458370753973,5.93793468119903,24.964940743476557,1499.587857142857,Q2: alto sup + BAIXO índice (DISCORDANTE)
253,39896.0,21678.0,-45.66372568678565,TATUAPE,0.0,6.496417817302441,5.954945022000425,22.63673696204497,1484.2804081632655,Q2: alto sup + BAIXO índice (DISCORDANTE)
408,20768.0,29137.0,40.29757318952234,JARDIM SAO LUIS,0.0,6.258594604280042,5.5190255301462665,20.47967126053546,1318.7336111111113,Q2: alto sup + BAIXO índice (DISCORDANTE)
325,30269.0,31360.0,3.604347682447388,PIRITUBA,0.0,6.034717638661461,5.752628440412601,19.3673399348955,1227.5273076923077,Q2: alto sup + BAIXO índice (DISCORDANTE)
