modelo,r2,r2_adj,F,p,n_params,betas,vars
M1: só índice,0.31250398649580424,0.3002272719689436,25.455017774671404,5.091666724000964e-06,2,"[-11.70438812410287, 2.322026533847015]","['intercepto', 'indice_cultural']"
M2: só renda 2010,0.3340176216255405,0.322125079154568,28.086308915088267,2.028249226996506e-06,2,"[-30.991929550042542, 0.02122479794866396]","['intercepto', 'renda_2010']"
M3: só renda 2022,0.3264838552405892,0.31445678122702836,27.145742586473514,2.8081230264786792e-06,2,"[-34.457494992529966, 0.006742679831549082]","['intercepto', 'renda_2022']"
M4: renda 2010 + renda 2022,0.33401890402682255,0.3098014096277979,13.792463354106328,1.3970189571266206e-05,3,"[-31.04539631574828, 0.02095461138395422, 8.783980371684236e-05]","['intercepto', 'renda_2010', 'renda_2022']"
M5: renda + índice (completo),0.43175845834871696,0.4001894838125346,13.676670360447167,9.418507548328405e-07,4,"[-25.57286574374703, 0.02526014580304073, -0.003521649330964785, 1.5214168457341362]","['intercepto', 'renda_2010', 'renda_2022', 'indice_cultural']"
