nr_zona,bolso,tarc,haddad,gap_pct,haddad_share,nome_ze,indice_cultural
371,41468.0,30310.0,82913.0,-26.90749493585415,53.59911048477287,GRAJAU,0.0
372,56792.0,41761.0,113450.0,-26.466755881110014,53.51339367839134,PIRAPORINHA SAO,1.818181818181818
20,34351.0,25641.0,65013.0,-25.355884835958197,52.00831966721331,VALO VELHO,0.0
404,42085.0,30660.0,77842.0,-27.147439705358202,51.69237716403142,CIDADE TIRADENTES,0.0
381,51485.0,37550.0,94838.0,-27.06613576769933,51.577991330973006,PARELHEIROS,0.0
373,30144.0,22560.0,48149.0,-25.159235668789815,47.74176276362627,CAPAO REDONDO,0.0
1,31814.0,26754.0,53301.0,-15.90494750738668,47.64590726653496,BELA VISTA,48.0
353,45653.0,33500.0,65514.0,-26.620375440825363,45.28607076942219,GUAIANASES,0.0
408,40477.0,31558.0,59014.0,-22.034735775872715,45.03201092721043,JARDIM SAO LUIS,0.0
328,44340.0,33984.0,61930.0,-23.35588633288227,44.155603405250474,CAMPO LIMPO,0.0
375,66037.0,49580.0,91092.0,-24.920877689779974,44.06774741302991,SAO MATEUS,0.0
389,50796.0,38284.0,70115.0,-24.631860776439083,44.04346870190647,PERUS,0.0
418,48437.0,36282.0,65251.0,-25.094452587897685,43.509368540374744,PEDREIRA SAO,0.0
405,27404.0,20560.0,36524.0,-24.974456283754197,43.22980778335385,CONJUNTO JOSE BONIFACIO,0.0
376,63641.0,47563.0,82143.0,-25.263587938593048,42.484755387981195,BRASILANDIA,0.0
421,39623.0,29770.0,50602.0,-24.866870252126294,42.170090420434185,TEOTONIO VILELA,0.0
397,43329.0,32057.0,53882.0,-26.01490918322602,41.68239626202927,JARDIM HELENA,0.0
352,56459.0,42355.0,70305.0,-24.98095963442498,41.571319603356216,ITAIM PAULISTA,0.0
351,34454.0,26300.0,42087.0,-23.6663377256632,40.92433951439601,CIDADE ADEMAR,0.0
374,66564.0,52851.0,82482.0,-20.601225887867315,40.853504509725255,RIO PEQUENO,8.16326530612245
403,30831.0,23544.0,35455.0,-23.635302130972068,39.46899699432261,JARAGUA,0.0
251,28763.0,25370.0,35226.0,-11.796405103779161,39.4207634373706,PINHEIROS,37.03703703703704
280,48095.0,36593.0,53941.0,-23.91516789687078,38.91032900763909,CAPELA DO SOCORRO,2.4390243902439024
320,49307.0,38152.0,55339.0,-22.623562577321678,38.75334388436813,JABAQUARA,2.564102564102564
248,44510.0,33677.0,49170.0,-24.338350932374752,38.608007412234905,ITAQUERA,3.125
2,51459.0,44524.0,59235.0,-13.476748479371924,38.16245538532902,PERDIZES,16.666666666666664
398,29361.0,22239.0,31784.0,-24.256667007254517,38.11762448431354,VILA JACUI,0.0
417,36431.0,27716.0,38689.0,-23.92193461612363,37.62203897467813,PARQUE DO CARMO,0.0
247,31562.0,24411.0,33546.0,-22.65699258602116,37.47360895452362,SAO MIGUEL PAULISTA,3.8461538461538463
326,32183.0,24760.0,33371.0,-23.06497219028679,36.94997453329495,ERMELINO MATARAZZO,0.0
3,21556.0,17708.0,22931.0,-17.851178326220072,36.86952327357504,SANTA IFIGENIA,17.647058823529413
413,44665.0,34955.0,44068.0,-21.739617149893654,35.62835521635081,CURSINO,0.0
260,53333.0,42523.0,51810.0,-20.268876680479252,35.08593718256064,IPIRANGA SAO,2.631578947368421
392,38825.0,30083.0,36332.0,-22.516419832582102,34.52299505891296,PONTE RASA,2.941176470588235
350,43274.0,33233.0,38116.0,-23.203309146369644,33.25336101829476,SAPOPEMBA,0.0
390,37812.0,29546.0,33299.0,-21.860784935999156,33.08165353626673,CANGAIBA,3.4482758620689653
6,48314.0,41557.0,44298.0,-13.985594237695075,33.016568655948845,VILA MARIANA,11.11111111111111
327,36616.0,28448.0,31902.0,-22.307188114485466,32.90019181981313,NOSSA SENHORA DO O,0.0
422,46939.0,37065.0,40229.0,-21.035812437418777,32.38189530961983,LAUZANE PAULISTA,0.0
349,40854.0,32225.0,34638.0,-21.121554804915064,32.156484120426676,JACANA,0.0
255,58951.0,45890.0,48838.0,-22.15568862275449,31.77922813136473,CASA VERDE,0.0
346,44114.0,37073.0,37819.0,-15.960919436006716,31.779069962859012,BUTANTA,13.513513513513514
325,32262.0,25315.0,25924.0,-21.533072965098256,31.046334774433838,PIRITUBA,0.0
347,57138.0,44616.0,45709.0,-21.9153628058385,30.996928042966708,VILA MATILDE,0.0
256,57564.0,45896.0,44984.0,-20.269612952539784,30.303683543962705,TUCURUVI,0.0
259,47078.0,39883.0,37790.0,-15.2831471175496,30.292342345953138,SAUDE,2.941176470588235
252,37223.0,29682.0,27604.0,-20.25897966311152,29.207800315313886,PENHA DE FRANCA,3.4482758620689653
250,55071.0,45230.0,41184.0,-17.869659167256813,29.108386047990955,LAPA,3.7037037037037033
420,40873.0,31756.0,28608.0,-22.30567856531206,28.25844305935577,VILA SABRINA,0.0
257,61361.0,49004.0,42025.0,-20.13819853001092,27.57726884966205,VILA PRUDENTE,0.0
254,53637.0,42191.0,35720.0,-21.3397468165632,27.153586523550338,VILA MARIA,4.761904761904762
5,38733.0,34519.0,26705.0,-10.879611700617042,26.71648808987865,JARDIM PAULISTA,10.526315789473683
246,40172.0,33650.0,25509.0,-16.235188688638857,25.680804582657984,SANTO AMARO,9.090909090909092
4,58681.0,47858.0,35402.0,-18.443789301477477,24.94134887030527,MOOCA,0.0
348,37638.0,29463.0,22188.0,-21.72007014187789,24.849645533044384,VILA FORMOSA,0.0
253,81986.0,66368.0,48698.0,-19.04959383309346,24.713273653654873,TATUAPE,0.0
249,40331.0,34032.0,23794.0,-15.618258907540106,24.240757154354757,SANTANA,6.896551724137931
258,65737.0,57330.0,36657.0,-12.788840379086363,22.950214119355888,INDIANOPOLIS,0.0
