ano,n_zonas,total_votos,hhi,gini
2000,41,1201019,0.027083942172994757,0.18783509019850805
2004,42,1199874,0.02713618045010702,0.2116428177339573
2008,57,1384411,0.020104242023957355,0.2045501217459925
2012,58,1566554,0.019728460457161895,0.20317736276236095
2016,58,1418516,0.019726034488263766,0.19991091223941562
2020,58,1433172,0.019726622153108195,0.19162252296497462
2024,57,2738141,0.018536591760178356,0.1343382179574172
