ano,cargo,n,r,r_quadrado,escore_medio_cidade,escore_dp
2016,vereador,58,0.10799849446207557,0.011663674806074968,5.412965291267464,0.21467642196518924
2016,prefeito,58,-0.011989514470278477,0.00014374845723301699,5.266284137232695,0.16971826775419233
2020,vereador,58,-0.5000722693748957,0.2500722745977582,6.067744651875577,0.18444970415966477
2020,prefeito,58,-0.24906026137991213,0.06203101379863015,5.282326292365143,0.1473973156319128
2024,vereador,57,-0.6612785918332386,0.43728937601695095,6.254523569325508,0.2336721966506581
2024,prefeito,57,-0.600318073780027,0.36038178970696194,5.678203964023815,0.2042175686108478
