sq_candidato,nome,partido,situacao,votos,receita_total,receita_2024,custo_por_voto,bloco,cargo,ano,escopo,arquetipo,eficiencia,custo_voto
250000049381,POLICE NETO - VEREADOR NETINHO,PSD,ELEITO 1T,28278,2447889.68,5067131.6376,179.18988746021645,DIREITA,Vereador,2012,SP_CAPITAL,Outros,5.580672069019626,179.18988746021643
250000049388,SOUZA SANTOS,PSD,ELEITO 1T,39658,430370.0,890865.8999999999,22.463712239648995,DIREITA,Vereador,2012,SP_CAPITAL,Outros,44.51623976178682,22.463712239648995
250000049397,MARCO AURELIO CUNHA,PSD,ELEITO 1T,40130,603758.5700000001,1249780.2399,31.14329030401196,DIREITA,Vereador,2012,SP_CAPITAL,Outros,32.109645135060674,31.14329030401196
250000049405,MARIO COVAS NETO,PSDB,ELEITO 1T,60697,698730.07,1446371.2448999998,23.8293695718075,DIREITA,Vereador,2012,SP_CAPITAL,Familiar/Dinastia,41.965021230905705,23.8293695718075
250000049407,MARTA COSTA,PSD,ELEITO 1T,32914,498532.18,1031961.6126,31.353272546636685,DIREITA,Vereador,2012,SP_CAPITAL,Outros,31.894597239013613,31.35327254663669
250000049409,MILTON LEITE,DEM,ELEITO 1T,101664,3330419.63,6893968.634099999,67.81130620573654,DIREITA,Vereador,2012,SP_CAPITAL,Outros,14.746803386533267,67.81130620573654
250000049418,PATRICIA BEZERRA,PSDB,ELEITO 1T,34511,408721.88,846054.2916,24.515496264959,DIREITA,Vereador,2012,SP_CAPITAL,Outros,40.79052649769692,24.515496264958998
250000049420,CORONEL TELHADA,PSDB,ELEITO 1T,89053,189293.08,391836.6756,4.400039028443736,DIREITA,Vereador,2012,SP_CAPITAL,Segurança,227.27071135859748,4.400039028443736
250000049429,SANDRA TADEU,DEM,ELEITO 1T,45770,1970744.71,4079441.5497,89.12915773869345,DIREITA,Vereador,2012,SP_CAPITAL,Outros,11.219672948461758,89.12915773869346
250000081974,ALFREDINHO,PT,ELEITO 1T,36634,1632274.95,3378809.1465,92.23151025004094,ESQUERDA,Vereador,2012,SP_CAPITAL,Outros,10.84228152926246,92.23151025004094
250000081977,DONATO,PT,ELEITO 1T,47039,1864037.54,3858557.7078,82.02890596738877,ESQUERDA,Vereador,2012,SP_CAPITAL,Outros,12.19082454174822,82.02890596738877
250000081980,ARSELINO TATTO,PT,ELEITO 1T,32135,909887.54,1883467.2078,58.61108473004512,ESQUERDA,Vereador,2012,SP_CAPITAL,Outros,17.06161905390196,58.61108473004512
250000081987,PASTOR EDEMILSON CHAVES,PP,ELEITO 1T,45858,48170.86,99713.6802,2.174400981290069,DIREITA,Vereador,2012,SP_CAPITAL,Religioso,459.89677552789794,2.1744009812900695
250000081993,ELISEU GABRIEL,PSB,ELEITO 1T,53634,733854.89,1519079.6223,28.3230716019689,ESQUERDA,Vereador,2012,SP_CAPITAL,Outros,35.30690505794168,28.3230716019689
250000082007,JAIR TATTO,PT,ELEITO 1T,31685,1033676.37,2139710.0859,67.53069546788701,ESQUERDA,Vereador,2012,SP_CAPITAL,Outros,14.808080874504421,67.53069546788701
250000082015,JOSÉ AMÉRICO,PT,ELEITO 1T,34291,1356549.71,2808057.8996999995,81.88906417718934,ESQUERDA,Vereador,2012,SP_CAPITAL,Outros,12.211642788299878,81.88906417718934
250000082024,JULIANA CARDOSO,PT,ELEITO 1T,46757,717917.54,1486089.3078,31.78324759501251,ESQUERDA,Vereador,2012,SP_CAPITAL,Outros,31.46311581315315,31.78324759501251
250000082045,OTA,PSB,ELEITO 1T,62693,280218.19,580051.6533,9.252255487853509,ESQUERDA,Vereador,2012,SP_CAPITAL,Outros,108.0817538288706,9.252255487853509
250000082047,NABIL BONDUKI,PT,ELEITO 1T,42411,1586718.04,3284506.3428,77.44468045554218,ESQUERDA,Vereador,2012,SP_CAPITAL,Outros,12.912442715469124,77.4446804555422
250000082050,NOEMI NONATO,PSB,ELEITO 1T,35601,548561.0,1135521.27,31.895768939074745,ESQUERDA,Vereador,2012,SP_CAPITAL,Outros,31.35212077533343,31.895768939074745
250000082052,REIS,PT,ELEITO 1T,28627,1677200.54,3471805.1178,121.27729478464386,ESQUERDA,Vereador,2012,SP_CAPITAL,Outros,8.245566507529157,121.27729478464387
250000082055,PAULO FIORILO,PT,ELEITO 1T,27805,1561119.28,3231516.9096,116.22071244740154,ESQUERDA,Vereador,2012,SP_CAPITAL,Outros,8.604318274615412,116.22071244740154
250000082067,SENIVAL MOURA,PT,ELEITO 1T,46524,547033.8,1132359.966,24.339265024503483,ESQUERDA,Vereador,2012,SP_CAPITAL,Outros,41.085874984033126,24.339265024503483
250000082073,VAVA DOS TRANSPORTES,PT,ELEITO 1T,29242,194655.54,402936.9678,13.77939155324533,ESQUERDA,Vereador,2012,SP_CAPITAL,Outros,72.57214486836172,13.77939155324533
250000004979,ADRIANA RAMALHO,PSDB,ELEITO 1T,29756,404606.05,615001.196,20.668140744723758,DIREITA,Vereador,2016,SP_CAPITAL,Outros,48.3836457449751,20.668140744723754
250000004981,ALINE CARDOSO,PSDB,ELEITO 1T,25769,658095.72,1000305.4944,38.818172781248784,DIREITA,Vereador,2016,SP_CAPITAL,Outros,25.76113011901097,38.818172781248784
250000004982,AURÉLIO NOMURA,PSDB,ELEITO 1T,41954,346302.22,526379.3744,12.546583744100682,DIREITA,Vereador,2016,SP_CAPITAL,Outros,79.70297097568039,12.546583744100682
250000004984,FABIO RIVA,PSDB,ELEITO 1T,28041,103038.42,156618.3984,5.585335701294533,DIREITA,Vereador,2016,SP_CAPITAL,Outros,179.0402678514429,5.585335701294533
250000004986,PATRICIA BEZERRA,PSDB,ELEITO 1T,45285,373689.54,568008.1008,12.542963471348129,DIREITA,Vereador,2016,SP_CAPITAL,Outros,79.72597562643776,12.542963471348129
250000004987,CLAUDINHO DE SOUZA,PSDB,ELEITO 1T,24923,325740.0,495124.8,19.86617983388837,DIREITA,Vereador,2016,SP_CAPITAL,Outros,50.33680397346285,19.866179833888374
250000004989,MARIO COVAS NETO,PSDB,ELEITO 1T,75593,440140.75,669013.9400000001,8.85021020464858,DIREITA,Vereador,2016,SP_CAPITAL,Familiar/Dinastia,112.99166651146312,8.85021020464858
250000004992,EDUARDO TUMA,PSDB,ELEITO 1T,70273,1078024.55,1638597.316,23.317594467291848,DIREITA,Vereador,2016,SP_CAPITAL,Outros,42.88607049079287,23.317594467291848
250000004997,JOÃO JORGE,PSDB,ELEITO 1T,42404,339344.64,515803.85280000005,12.16403765682483,DIREITA,Vereador,2016,SP_CAPITAL,Outros,82.20954490706742,12.16403765682483
250000005003,DANIEL ANNENBERG,PSDB,ELEITO 1T,36983,622449.26,946122.8752,25.582642706108214,DIREITA,Vereador,2016,SP_CAPITAL,Outros,39.08900309823098,25.582642706108214
250000005006,GILSON BARRETO,PSDB,ELEITO 1T,38564,315762.42,479958.8784,12.445775293019397,DIREITA,Vereador,2016,SP_CAPITAL,Outros,80.34855012695604,12.445775293019397
250000005798,JANAINA LIMA,NOVO,ELEITO 1T,19425,304017.98,462107.3296,23.78930911711712,DIREITA,Vereador,2016,SP_CAPITAL,Outros,42.03568901799129,23.789309117117117
250000008293,ANDRÉ SANTOS,PRB,ELEITO 1T,37393,136263.8,207120.976,5.539030727676303,DESCONHECIDO,Vereador,2016,SP_CAPITAL,Outros,180.5370017182615,5.539030727676303
250000008347,ATILIO FRANCISCO,PRB,ELEITO 1T,46961,96377.18,146493.3136,3.1194675070803437,DESCONHECIDO,Vereador,2016,SP_CAPITAL,Outros,320.56753203239714,3.1194675070803433
250000008365,SOUZA SANTOS,PRB,ELEITO 1T,55924,272900.56,414808.8512,7.417367341391889,DESCONHECIDO,Vereador,2016,SP_CAPITAL,Outros,134.81872394530043,7.417367341391889
250000008366,RINALDI DIGILIO,PRB,ELEITO 1T,20916,192080.0,291961.6,13.958768406961177,DESCONHECIDO,Vereador,2016,SP_CAPITAL,Outros,71.63955807887065,13.958768406961177
250000008375,GILBERTO NASCIMENTO JR,PSC,ELEITO 1T,30382,696763.86,1059081.0672,34.85883309854519,DIREITA,Vereador,2016,SP_CAPITAL,Familiar/Dinastia,28.68713353579625,34.85883309854519
250000010842,SONINHA,PPS,ELEITO 1T,40113,83245.6,126533.312,3.1544215590955558,DESCONHECIDO,Vereador,2016,SP_CAPITAL,Outros,317.015332689624,3.1544215590955553
250000010847,CLAUDIO FONSECA,PPS,ELEITO 1T,18444,81487.2,123860.544,6.715492517891997,DESCONHECIDO,Vereador,2016,SP_CAPITAL,Outros,148.90940572649188,6.715492517891997
250000010863,ZÉ TURIN,PHS,ELEITO 1T,14957,91928.35,139731.092,9.342187069599518,DESCONHECIDO,Vereador,2016,SP_CAPITAL,Outros,107.04131618752395,9.342187069599518
250000010991,CAMILO CRISTÓFARO,PSB,ELEITO 1T,29603,43189.56,65648.1312,2.217617511738675,ESQUERDA,Vereador,2016,SP_CAPITAL,Outros,450.93439004094597,2.217617511738675
250000010992,ELISEU GABRIEL,PSB,ELEITO 1T,52355,580297.47,882052.1544,16.847524675771176,ESQUERDA,Vereador,2016,SP_CAPITAL,Outros,59.35590059933989,16.847524675771176
250000010999,OTA,PSB,ELEITO 1T,45915,170047.34,258471.9568,5.629357656539257,ESQUERDA,Vereador,2016,SP_CAPITAL,Outros,177.64016092286573,5.629357656539257
