modelo,r2,r2_adj,F,n_params,betas,vars
M1: só índice,0.31250398649580424,0.3002272719689436,25.455017774671404,2,"[-11.70438812410287, 2.322026533847015]","['intercepto', 'indice_cultural']"
M2: só renda 2010,0.3340176216255405,0.322125079154568,28.086308915088267,2,"[-30.991929550042542, 0.02122479794866396]","['intercepto', 'renda_2010']"
M3: só renda 2022,0.3264838552405892,0.31445678122702836,27.145742586473514,2,"[-34.457494992529966, 0.006742679831549082]","['intercepto', 'renda_2022']"
M4: só alfabetização,0.22902481167421596,0.21525739759696982,16.635281715883938,2,"[-495.47880564660903, 579.7439027561159]","['intercepto', 'taxa_alfab']"
M5: renda 2010 + 2022,0.33401890402682255,0.3098014096277979,13.792463354106328,3,"[-31.04539631574828, 0.02095461138395422, 8.783980371684236e-05]","['intercepto', 'renda_2010', 'renda_2022']"
M6: renda + alfab (sem índice),0.3379898335240977,0.3012114909421031,9.189914764934679,4,"[-128.5558791844964, 0.02146282426026908, -0.0009729720790979945, 119.82980893102823]","['intercepto', 'renda_2010', 'renda_2022', 'taxa_alfab']"
M7: renda + alfab + índice (completo),0.43177965765475734,0.38889510351549383,10.06841895225477,5,"[-18.258187824316277, 0.025236139142201772, -0.003454023766103695, -8.967041289299802, 1.52637228854671]","['intercepto', 'renda_2010', 'renda_2022', 'taxa_alfab', 'indice_cultural']"
