modelo,r2,r2_adj,F,n_params,betas,vars
M1: só índice,0.31250398649580424,0.3002272719689436,25.455017774671404,2,"[-11.70438812410287, 2.322026533847015]","['intercepto', 'indice_cultural']"
M2: só renda 2010,0.3340176216255405,0.322125079154568,28.086308915088267,2,"[-30.991929550042542, 0.02122479794866396]","['intercepto', 'renda_2010']"
M3: só renda 2022,0.3264838552405892,0.31445678122702836,27.145742586473514,2,"[-34.457494992529966, 0.006742679831549082]","['intercepto', 'renda_2022']"
M4: só pct_superior,0.32952719653590223,0.31755446790261477,27.52314920257413,2,"[-28.45862657205058, 1.4591453258124678]","['intercepto', 'pct_superior']"
M5: renda 2010 + 2022,0.33401890402682255,0.3098014096277979,13.792463354106328,3,"[-31.04539631574828, 0.02095461138395422, 8.783980371684236e-05]","['intercepto', 'renda_2010', 'renda_2022']"
M6: renda + superior (sem índice),0.3422819345014012,0.30574204197370125,9.36734924006485,4,"[-28.435653353448952, 0.020520266934873112, -0.0033759598162840104, 0.8095141357215238]","['intercepto', 'renda_2010', 'renda_2022', 'pct_superior']"
M7: renda + superior + índice (completo),0.43245698995354587,0.3896235552330587,10.096248241019603,5,"[-26.205518122001187, 0.025540695152695254, -0.002559192997864383, -0.2532743446828681, 1.572532619989635]","['intercepto', 'renda_2010', 'renda_2022', 'pct_superior', 'indice_cultural']"
