ano_quebra,k,F,p_value
2008,2,5.0284838296846335,0.1101332332984265
2012,3,36.47281201898928,0.00785105011485987
2016,4,44.58663104973817,0.005871843139228838
2020,5,10.984381086763094,0.04164725317295759
