nr_zona,Vereador,Dep. Federal,Governador,Prefeito
1,37.337881400404825,31.073085363482317,17.446351931330472,60.28749127371962
2,57.128045619491964,73.61172812083518,59.981048641819335,95.06511051900776
3,103.11742852527863,10.462885238038135,-1.863917525773196,142.60287806109568
4,-29.54127737785266,-0.9068107273779664,3.076193663543061,42.081447963800905
5,64.64190437102401,38.985547270551415,32.07410273773822,137.9573725176402
6,12.219701014415376,49.87256320176345,47.05086928525435,143.78918495297805
20,14.583105072860745,18.78774154589372,18.177329477322424,31.002712801351283
246,46.16266479842048,6.199042319140675,-2.7000183924958616,117.96301731728794
247,-6.333592534992224,-28.810291239783588,-25.196782841823058,31.62128504594258
248,-7.398631737026531,-14.954374913150215,-11.73328738800827,7.91694755291897
249,0.696599328731556,-7.795119427438131,-5.309431377026719,74.49242014076881
250,-21.657410022278704,11.295447515676406,7.292801267452223,45.714285714285715
251,71.91863201380536,50.27882500785422,45.28172147393116,127.01222547989157
252,2.062825255501912,-15.506682586758078,-10.64997533300444,46.64944203177395
253,-45.66372568678565,-21.66358313147304,-5.5747455529489995,10.773259396179915
254,-36.96837944664031,-9.706182344618828,-9.125484496124031,32.753635696716
255,-15.860463633174962,-10.259082426504447,-6.886374815543532,33.098418169508214
256,-18.676663542642924,-6.553779463560011,-4.774820362311507,37.584106523124866
257,-32.72952560774133,-17.79034566916199,-10.345390707928473,35.47500827540549
258,21.414819972965223,14.934263967026688,11.95967121991603,109.9741965751818
259,26.023471615720524,35.31098047753829,28.93457698370993,134.5099909895585
260,-33.377714903886165,6.490294536461065,2.4313097824015855,39.620089945592355
280,5.58957072096863,-4.950380798522963,-14.054693865002383,-0.6605079783008376
320,-19.872857932559427,14.86464448793216,2.3649008267395235,34.59123103833912
325,3.604347682447388,-24.67942522069721,-19.330320460147902,82.08769068406409
326,14.029525882464275,-16.337062307345963,-15.599775648060088,47.22417702713269
327,44.65399082805173,-5.1966866015378335,-6.050669805504176,97.83278966888601
328,4.743223965763196,5.946213793414118,8.391277931546615,36.488230435680364
346,90.01704139409598,17.386243023932618,19.44876842779965,149.81303169112837
347,-12.410526315789474,-19.444380296977116,-9.044835048023993,28.63255872063968
348,7.636382124154761,-33.33839957443575,-16.118515333906565,115.17900931829328
349,-21.552543390186564,2.042779102869893,3.480052658691546,47.75191485128818
350,-23.404191616766468,-21.013841927303467,-17.197160522097548,40.847864341705325
351,-28.50622406639004,-0.14363778298204527,-5.474736978828419,11.14926277519693
352,-40.88520207291838,-16.020647134732112,-13.337454969147178,-22.140044695115463
353,-25.93441466854725,-14.590307087760152,-6.72936575693316,-4.5491746012735295
371,7.448024948024948,5.191433002805709,-4.73814903469721,-12.912941176470587
372,-7.770998669663746,17.881920084810503,12.052051474407063,-0.6506942553770759
373,10.474872053024582,-9.224500525762355,-8.624422103177515,35.28469450845934
374,-16.434308928076817,15.588694592693015,15.91966030868774,26.94615839743048
375,-37.00122801252227,-15.430616263989624,-10.87817839683035,-33.469002695417785
376,-38.204914351703344,-0.5958651567026599,-3.205062889877617,-24.51260504201681
381,-20.767346594028464,8.234748318255624,3.4549351669107193,-20.465399857738035
389,-44.0074347736295,7.974402127615367,12.228583609952189,-17.80876410610724
390,-22.62333965844402,-7.120836153094218,-1.6464617987031294,30.525488019243223
392,-9.207002104457624,-9.686544091043647,-7.414082860413572,23.41157183413971
397,-10.60322898821575,-15.703712790317304,-12.587478424603798,10.669163486382061
398,-100.0,-21.16466002000897,-14.923988662715795,-100.0
403,-1.7460684551341352,-3.6677335099142847,10.305038610609781,62.080186908089615
404,-14.63276123170116,3.082728697998323,5.7653657703574295,2.330989625915227
405,-15.493263798348544,-7.6566206222966375,-0.42901614042430747,13.193636010865347
408,40.29757318952234,24.36539883348394,19.262672811059907,43.13373018211823
413,3.7226640159045727,24.34486467108801,15.56288057973932,60.15688838045432
417,-4.152754590984975,-11.966913417448378,-3.3625730994152043,20.61051526288157
418,-27.345128151914494,-0.1752200806434588,4.823056714572709,4.240068308466655
420,-44.550824044965225,-19.90819575035167,-16.16714616910142,18.922074131724877
421,-23.713706954760298,-11.305408702724685,-8.276576323550062,17.333606599374903
422,-7.048089008891578,16.022348044546103,11.060370086846342,49.755924380935475
