ano,n_zonas,total_votos,hhi,hhi_norm,gini
2000,41,1336834,0.027134853647410754,0.002813224988596022,0.18754781272987284
2004,42,1858709,0.02997561610332371,0.006316484788770632,0.267007663716616
2008,57,1487381,0.020589478158406862,0.0031000045540927,0.22699477759783512
2012,58,1691574,0.019391856983636407,0.0021882053517703797,0.1952207295364126
2016,58,1518887,0.018633197858548514,0.0014162364174704182,0.16048151910145275
2020,58,1334919,0.01907036321302385,0.0018610713395681268,0.1831705222150764
2024,57,1527275,0.01875225282326002,0.0012299716236753783,0.14939016198727983
